model,mean_fpr,mean_tpr,sd_tpr,lower_tpr,upper_tpr,n_folds,mean_auc,sd_auc
MNB,0.1708542713567839,0.9389213775178686,0.010983350568264886,0.9279380269496037,0.9499047280861336,30,0.922107379243075,0.006929879363607186
MNB,0.17587939698492464,0.9413905133203379,0.01102621413584143,0.9303642991844964,0.9524167274561793,30,0.922107379243075,0.006929879363607186
MNB,0.18090452261306533,0.942949967511371,0.011097285506351128,0.9318526820050198,0.9540472530177221,30,0.922107379243075,0.006929879363607186
MNB,0.18592964824120603,0.9460688758934371,0.011254391212273403,0.9348144846811637,0.9573232671057106,30,0.922107379243075,0.006929879363607186
MNB,0.19095477386934673,0.9478232618583493,0.010903728932160102,0.9369195329261892,0.9587269907905094,30,0.922107379243075,0.006929879363607186
MNB,0.19597989949748745,0.9500974658869392,0.010794023592112137,0.9393034422948271,0.9608914894790513,30,0.922107379243075,0.006929879363607186
MNB,0.20100502512562815,0.9523066926575694,0.010387395026717167,0.9419192976308522,0.9626940876842865,30,0.922107379243075,0.006929879363607186
MNB,0.20603015075376885,0.9538011695906427,0.010442959248326614,0.943358210342316,0.9642441288389693,30,0.922107379243075,0.006929879363607186
MNB,0.21105527638190955,0.9565951916829104,0.010275790279211671,0.9463194014036987,0.9668709819621221,30,0.922107379243075,0.006929879363607186
MNB,0.21608040201005024,0.9575048732943465,0.010088770537187286,0.9474161027571593,0.9675936438315338,30,0.922107379243075,0.006929879363607186
MNB,0.22110552763819097,0.9590643274853796,0.010289382600337417,0.9487749448850422,0.969353710085717,30,0.922107379243075,0.006929879363607186
MNB,0.22613065326633167,0.960818713450292,0.010075124324295515,0.9507435891259965,0.9708938377745875,30,0.922107379243075,0.006929879363607186
MNB,0.23115577889447236,0.9615334632878488,0.010108665246984125,0.9514247980408647,0.971642128534833,30,0.922107379243075,0.006929879363607186
MNB,0.23618090452261306,0.9634827810266402,0.009576157726804695,0.9539066232998356,0.9730589387534448,30,0.922107379243075,0.006929879363607186
MNB,0.24120603015075376,0.9648473034437942,0.009759799252242254,0.955087504191552,0.9746071026960365,30,0.922107379243075,0.006929879363607186
MNB,0.24623115577889448,0.9662768031189081,0.009441345081873564,0.9568354580370345,0.9757181482007816,30,0.922107379243075,0.006929879363607186
MNB,0.25125628140703515,0.9674463937621828,0.009848895072810225,0.9575974986893726,0.977295288834993,30,0.922107379243075,0.006929879363607186
MNB,0.2562814070351759,0.9684860298895382,0.00908680795224963,0.9593992219372887,0.9775728378417878,30,0.922107379243075,0.006929879363607186
MNB,0.2613065326633166,0.9699805068226116,0.009007392958350395,0.9609731138642612,0.978987899780962,30,0.922107379243075,0.006929879363607186
MNB,0.2663316582914573,0.9706952566601684,0.009263886700722297,0.9614313699594461,0.9799591433608907,30,0.922107379243075,0.006929879363607186
MNB,0.271356783919598,0.9716049382716043,0.009037648028020182,0.9625672902435841,0.9806425862996245,30,0.922107379243075,0.006929879363607186
MNB,0.2763819095477387,0.9723196881091613,0.009191706539678157,0.9631279815694831,0.9815113946488394,30,0.922107379243075,0.006929879363607186
MNB,0.2814070351758794,0.9738141650422347,0.009124222121277979,0.9646899429209568,0.9829383871635127,30,0.922107379243075,0.006929879363607186
MNB,0.2864321608040201,0.9745289148797915,0.008836050342863333,0.9656928645369283,0.9833649652226548,30,0.922107379243075,0.006929879363607186
MNB,0.2914572864321608,0.9755035737491873,0.008712853030526697,0.9667907207186606,0.984216426779714,30,0.922107379243075,0.006929879363607186
MNB,0.2964824120603015,0.9766731643924622,0.008859005328870692,0.9678141590635915,0.985532169721333,30,0.922107379243075,0.006929879363607186
MNB,0.30150753768844224,0.9769980506822608,0.008556808933510088,0.9684412417487507,0.9855548596157708,30,0.922107379243075,0.006929879363607186
MNB,0.3065326633165829,0.9779727095516564,0.008445061237268478,0.9695276483143879,0.9864177707889249,30,0.922107379243075,0.006929879363607186
MNB,0.31155778894472363,0.9786224821312536,0.008465723232154837,0.9701567588990987,0.9870882053634085,30,0.922107379243075,0.006929879363607186
MNB,0.3165829145728643,0.9795321637426896,0.007691526014488977,0.9718406377282006,0.9872236897571786,30,0.922107379243075,0.006929879363607186
MNB,0.32160804020100503,0.9803768680961659,0.00759178957434122,0.9727850785218246,0.9879686576705071,30,0.922107379243075,0.006929879363607186
MNB,0.32663316582914576,0.9808317089018839,0.007277192817766512,0.9735545160841174,0.9881089017196504,30,0.922107379243075,0.006929879363607186
MNB,0.3316582914572864,0.9814814814814811,0.007289186551191309,0.9741922949302898,0.9887706680326723,30,0.922107379243075,0.006929879363607186
MNB,0.33668341708542715,0.9818713450292393,0.007296373327944351,0.974574971701295,0.9891677183571836,30,0.922107379243075,0.006929879363607186
MNB,0.3417085427135678,0.9827160493827157,0.007161945797028579,0.9755541035856872,0.9898779951797443,30,0.922107379243075,0.006929879363607186
MNB,0.34673366834170855,0.983105912930474,0.007191158477620489,0.9759147544528535,0.9902970714080945,30,0.922107379243075,0.006929879363607186
MNB,0.35175879396984927,0.983560753736192,0.007287988066054767,0.9762727656701372,0.9908487418022468,30,0.922107379243075,0.006929879363607186
MNB,0.35678391959798994,0.9838856400259905,0.0065343682373035835,0.977351271788687,0.9904200082632941,30,0.922107379243075,0.006929879363607186
MNB,0.36180904522613067,0.9843404808317086,0.0062168459529390796,0.9781236348787695,0.9905573267846476,30,0.922107379243075,0.006929879363607186
MNB,0.36683417085427134,0.9847953216374266,0.006402019728472235,0.9783933019089543,0.9911973413658988,30,0.922107379243075,0.006929879363607186
MNB,0.37185929648241206,0.9851851851851848,0.006155775605478121,0.9790294095797067,0.9913409607906629,30,0.922107379243075,0.006929879363607186
MNB,0.3768844221105528,0.9854450942170238,0.005762939531098541,0.9796821546859252,0.9912080337481223,30,0.922107379243075,0.006929879363607186
MNB,0.38190954773869346,0.985834957764782,0.005582778910815317,0.9802521788539668,0.9914177366755973,30,0.922107379243075,0.006929879363607186
MNB,0.3869346733668342,0.9862897985705,0.005665485498678428,0.9806243130718216,0.9919552840691784,30,0.922107379243075,0.006929879363607186
MNB,0.3919597989949749,0.9864847303443792,0.005535639489137386,0.9809490908552418,0.9920203698335166,30,0.922107379243075,0.006929879363607186
MNB,0.3969849246231156,0.9868096166341778,0.005336789936248209,0.9814728266979296,0.992146406570426,30,0.922107379243075,0.006929879363607186
MNB,0.4020100502512563,0.9872644574398958,0.00508663451136781,0.982177822928528,0.9923510919512636,30,0.922107379243075,0.006929879363607186
MNB,0.40703517587939697,0.9875243664717347,0.005159949933675292,0.9823644165380594,0.99268431640541,30,0.922107379243075,0.006929879363607186
MNB,0.4120603015075377,0.9881741390513318,0.005117452504933137,0.9830566865463987,0.9932915915562649,30,0.922107379243075,0.006929879363607186
