model,repeat,fold,split_number,seed,n_validation,roc_auc,accuracy,f1_macro,f1_fake,f1_real,elapsed_seconds,batch_size,eval_batch_size,prediction_path,roc_path
LR_deploy,5,1,21,62,1026,0.9715657999232432,0.9181286549707602,0.918103448275862,0.9195402298850573,0.9166666666666666,134.82303099997807,,,predictions/LR_deploy/repeat_5_fold_1_predictions.csv.gz,roc_raw/LR_deploy/repeat_5_fold_1_roc.csv
LR_deploy,5,2,22,63,1026,0.9732567285660544,0.9337231968810916,0.9337229450389104,0.93359375,0.9338521400778209,148.88016709999647,,,predictions/LR_deploy/repeat_5_fold_2_predictions.csv.gz,roc_raw/LR_deploy/repeat_5_fold_2_roc.csv
LR_deploy,5,3,23,64,1026,0.9814263838066032,0.9269005847953217,0.9268699482530043,0.9283667621776504,0.9253731343283581,138.86940640001558,,,predictions/LR_deploy/repeat_5_fold_3_predictions.csv.gz,roc_raw/LR_deploy/repeat_5_fold_3_roc.csv
LR_deploy,5,4,24,65,1026,0.9707412347198948,0.9200779727095516,0.9200752393980849,0.9205426356589148,0.919607843137255,203.2986486000009,,,predictions/LR_deploy/repeat_5_fold_4_predictions.csv.gz,roc_raw/LR_deploy/repeat_5_fold_4_roc.csv
LR_deploy,5,5,25,66,1025,0.9780701754385964,0.9336585365853659,0.9336554423478167,0.9341085271317829,0.9332023575638506,208.3200019000797,,,predictions/LR_deploy/repeat_5_fold_5_predictions.csv.gz,roc_raw/LR_deploy/repeat_5_fold_5_roc.csv
LR_deploy,6,1,26,67,1026,0.9790666833859611,0.9327485380116959,0.9327085854202886,0.934348239771646,0.9310689310689311,144.07995399995707,,,predictions/LR_deploy/repeat_6_fold_1_predictions.csv.gz,roc_raw/LR_deploy/repeat_6_fold_1_roc.csv
LR_deploy,6,2,27,68,1026,0.9756962256192788,0.9239766081871345,0.9239532019704433,0.925287356321839,0.9226190476190477,138.3400105999317,,,predictions/LR_deploy/repeat_6_fold_2_predictions.csv.gz,roc_raw/LR_deploy/repeat_6_fold_2_roc.csv
LR_deploy,6,3,28,69,1026,0.9740774939297562,0.9259259259259259,0.9259248000303991,0.9256360078277885,0.9262135922330097,141.77632469998207,,,predictions/LR_deploy/repeat_6_fold_3_predictions.csv.gz,roc_raw/LR_deploy/repeat_6_fold_3_roc.csv
LR_deploy,6,4,29,70,1026,0.973819104833776,0.9181286549707602,0.9181283438715954,0.9182879377431907,0.91796875,206.17349089996424,,,predictions/LR_deploy/repeat_6_fold_4_predictions.csv.gz,roc_raw/LR_deploy/repeat_6_fold_4_roc.csv
LR_deploy,6,5,30,71,1025,0.9822086683723196,0.9297560975609757,0.9297554958234027,0.9295499021526419,0.9299610894941633,126.34252130007371,,,predictions/LR_deploy/repeat_6_fold_5_predictions.csv.gz,roc_raw/LR_deploy/repeat_6_fold_5_roc.csv
SVC,1,1,1,42,1026,0.9752516443806072,0.9249512670565302,0.9249477735228147,0.9254598257502419,0.9244357212953875,130.13176629994996,,,predictions/SVC/repeat_1_fold_1_predictions.csv.gz,roc_raw/SVC/repeat_1_fold_1_roc.csv
SVC,1,2,2,43,1026,0.9707450345595416,0.9200779727095516,0.9200533661740559,0.921455938697318,0.9186507936507937,126.50699679995888,,,predictions/SVC/repeat_1_fold_2_predictions.csv.gz,roc_raw/SVC/repeat_1_fold_2_roc.csv
SVC,1,3,3,44,1026,0.9656760484707544,0.898635477582846,0.8986320109439124,0.8992248062015504,0.8980392156862744,138.87017219990958,,,predictions/SVC/repeat_1_fold_3_predictions.csv.gz,roc_raw/SVC/repeat_1_fold_3_roc.csv
SVC,1,4,4,45,1026,0.9776569428770108,0.9327485380116959,0.9327341605452415,0.9337175792507205,0.9317507418397626,133.99356169998646,,,predictions/SVC/repeat_1_fold_4_predictions.csv.gz,roc_raw/SVC/repeat_1_fold_4_roc.csv
SVC,1,5,5,46,1025,0.9741601181773878,0.9229268292682927,0.9229221339836526,0.9235237173281704,0.9223205506391348,134.5097756999312,,,predictions/SVC/repeat_1_fold_5_predictions.csv.gz,roc_raw/SVC/repeat_1_fold_5_roc.csv
SVC,2,1,6,47,1026,0.9720293803601489,0.9210526315789473,0.9210507566135404,0.9214354995150339,0.9206660137120469,129.84680489997845,,,predictions/SVC/repeat_2_fold_1_predictions.csv.gz,roc_raw/SVC/repeat_2_fold_1_roc.csv
SVC,2,2,7,48,1026,0.9693865918858224,0.9093567251461988,0.9093545724081389,0.9097963142580018,0.9089128305582761,196.4976560000796,,,predictions/SVC/repeat_2_fold_2_predictions.csv.gz,roc_raw/SVC/repeat_2_fold_2_roc.csv
