classifier,classifier_name,repeat,fold,auc,elapsed_seconds
SVC,Support Vector Classifier,4,5,0.9715880959454005,126.11672150006052
SVC,Support Vector Classifier,5,1,0.9839852850079618,128.58877239993308
SVC,Support Vector Classifier,5,2,0.9730647343142025,127.05160520004574
SVC,Support Vector Classifier,5,3,0.9738104287017331,125.73791470006108
SVC,Support Vector Classifier,5,4,0.9716102596849723,127.33671479998156
SVC,Support Vector Classifier,5,5,0.96674587036487,126.60656659991946
SVC,Support Vector Classifier,6,1,0.9652939544675532,125.34804930002429
SVC,Support Vector Classifier,6,2,0.9787905999817358,128.19897510006558
SVC,Support Vector Classifier,6,3,0.9688636821518309,126.42807599995285
SVC,Support Vector Classifier,6,4,0.9834787946726452,120.98812230001204
SVC,Support Vector Classifier,6,5,0.9706959706959707,118.83944699994754
