dataset_key,dataset,classifier,classifier_name,feature_set,repeat,fold,accuracy,elapsed_seconds
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,3,5,0.93359375,9.939307699911296
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,4,1,0.949317738791423,10.3232259999495
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,4,2,0.9610136452241715,10.286481100018136
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,4,3,0.949317738791423,10.252024800051004
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,4,4,0.9512670565302144,10.13669400010258
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,4,5,0.953125,9.88162060000468
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,5,1,0.9571150097465887,10.082958100014366
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,5,2,0.9571150097465887,10.054772900068201
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,5,3,0.949317738791423,10.25182520004455
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,5,4,0.9434697855750487,10.016445699962787
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,5,5,0.958984375,9.946061599999666
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,6,1,0.9551656920077972,10.417779400013387
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,6,2,0.9434697855750487,10.243192699970677
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,6,3,0.9473684210526315,9.933342100004666
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,6,4,0.9532163742690059,9.35912450007163
Cruz,Fake News Filipino 2020,SVC,Support Vector Classifier,full,6,5,0.947265625,9.33880470006261
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,1,1,0.8635477582846004,4.751084399991669
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,1,2,0.8888888888888888,4.6899657000321895
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,1,3,0.8830409356725146,4.6434554000152275
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,1,4,0.8947368421052632,4.7663857999723405
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,1,5,0.86328125,4.673882700037211
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,2,1,0.9064327485380117,4.632978099980392
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,2,2,0.8732943469785575,4.7486909999279305
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,2,3,0.8615984405458089,4.6401814999990165
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,2,4,0.8713450292397661,4.769302200060338
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,2,5,0.87890625,4.692446399945766
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,3,1,0.8810916179337231,4.792637899983674
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,3,2,0.8635477582846004,4.743325799936429
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,3,3,0.9083820662768031,4.688475099974312
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,3,4,0.884990253411306,4.703777299961075
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,3,5,0.884765625,4.786477799993008
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,4,1,0.8693957115009746,4.718400800018571
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,4,2,0.9044834307992202,4.6989802999887615
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,4,3,0.884990253411306,4.589821000001393
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,4,4,0.8771929824561403,4.647577300085686
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,4,5,0.873046875,4.717881400021724
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,5,1,0.8771929824561403,4.730206099920906
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,5,2,0.8791423001949318,4.687994599924423
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,5,3,0.8654970760233918,4.746902299928479
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,5,4,0.9103313840155945,4.724847599980421
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,5,5,0.88671875,4.707537499954924
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,6,1,0.8635477582846004,4.719747999915853
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,6,2,0.898635477582846,4.655063800048083
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,6,3,0.8557504873294347,4.665607499890029
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,6,4,0.8791423001949318,4.158880000002682
Lupac,Fake News Filipino 2024,MNB,Multinomial Naive Bayes,full,6,5,0.908203125,4.102682799915783
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,1,1,0.9317738791423001,145.6702158000553
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,1,2,0.935672514619883,153.76586489996407
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,1,3,0.9610136452241715,160.65677510004025
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,1,4,0.9454191033138402,159.7697353999829
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,1,5,0.94140625,186.40183350001462
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,2,1,0.9590643274853801,161.14297789998818
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,2,2,0.9415204678362573,146.87745050003286
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,2,3,0.9454191033138402,144.23290369997267
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,2,4,0.9298245614035088,167.58708559989464
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,2,5,0.939453125,138.7508172999369
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,3,1,0.9610136452241715,139.62753910000902
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,3,2,0.9337231968810916,143.26290349999908
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,3,3,0.9473684210526315,142.73658439994324
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,3,4,0.9551656920077972,148.34624679991975
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,3,5,0.94921875,141.97707750007976
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,4,1,0.949317738791423,134.84139650000725
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,4,2,0.9532163742690059,143.30936119996477
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,4,3,0.9571150097465887,153.35298849991523
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,4,4,0.9298245614035088,149.57588819996454
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,4,5,0.935546875,148.39338290004525
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,5,1,0.949317738791423,138.36150769994128
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,5,2,0.9512670565302144,155.796293899999
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,5,3,0.9434697855750487,142.83761849999428
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,5,4,0.9551656920077972,150.60464529995807
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,5,5,0.935546875,149.32929820008576
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,6,1,0.9571150097465887,154.82410990004428
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,6,2,0.9454191033138402,153.47195040003862
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,6,3,0.9239766081871345,156.53105089999735
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,6,4,0.9415204678362573,123.70453009998892
Lupac,Fake News Filipino 2024,LR,Logistic Regression,full,6,5,0.958984375,86.8483053999953
Lupac,Fake News Filipino 2024,RF,Random Forest,full,1,1,0.9239766081871345,11.902969500049949
Lupac,Fake News Filipino 2024,RF,Random Forest,full,1,2,0.9122807017543859,11.919102699961513
Lupac,Fake News Filipino 2024,RF,Random Forest,full,1,3,0.9415204678362573,12.399495500023477
Lupac,Fake News Filipino 2024,RF,Random Forest,full,1,4,0.9259259259259259,12.405325799947605
