word_count,sentence_count,polysyll_count,ave_word_length,ave_phrase_count,ave_syllable_count_of_word,word_count_per_sentence
97,5,6,5.103092783505154,1.3333333333333333,2.1030927835051547,19.4
63,3,2,4.809523809523809,0.0,2.0,21.0
75,4,3,5.0,0.0,2.026666666666667,18.75
90,7,3,4.677777777777778,1.2857142857142858,1.9777777777777779,12.857142857142858
124,5,4,4.959677419354839,1.6,2.024193548387097,24.8
69,4,4,5.072463768115942,1.4,2.072463768115942,17.25
167,12,6,4.844311377245509,1.8333333333333333,1.910179640718563,13.916666666666666
274,21,16,5.390510948905109,1.5,2.2153284671532845,13.047619047619047
200,14,14,4.88,1.0666666666666667,2.085,14.285714285714286
32,1,0,4.5625,1.5,1.78125,32.0
284,15,10,4.996478873239437,1.3125,2.109154929577465,18.933333333333334
149,7,9,4.973154362416107,1.625,2.0805369127516777,21.285714285714285
117,8,4,5.213675213675214,1.5,2.1709401709401708,14.625
