dataset_key,dataset,fold_number,repeat_number,split_number,seed,train_size,validation_size,accuracy,f1_macro,f1_fake,f1_real,roc_auc,elapsed_seconds
cruz,Fake News Filipino 2020,26,6,1,67,2051,513,0.9337231968810916,0.9337209302325582,0.9341085271317829,0.9333333333333333,0.9834706347276265,76.05068079999182
cruz,Fake News Filipino 2020,27,6,2,68,2051,513,0.9083820662768031,0.9083472396975698,0.9065606361829026,0.9101338432122371,0.9743965831712063,76.10321620001923
cruz,Fake News Filipino 2020,28,6,3,69,2051,513,0.9025341130604289,0.9024269628727937,0.8991935483870969,0.9056603773584906,0.970961515077821,76.02258290001191
cruz,Fake News Filipino 2020,29,6,4,70,2051,513,0.9298245614035088,0.9297474132684114,0.9320754716981132,0.9274193548387096,0.9828854571984436,75.81036180001684
cruz,Fake News Filipino 2020,30,6,5,71,2052,512,0.9140625,0.9140415140415141,0.9153846153846155,0.9126984126984127,0.9648590087890625,76.34013049991336
lupac,Fake News Filipino 2024,1,1,1,42,2051,513,0.9337231968810916,0.9336806083650189,0.9319999999999999,0.9353612167300379,0.9783332320038911,75.90602980006952
lupac,Fake News Filipino 2024,2,1,2,43,2051,513,0.9376218323586745,0.9375931388948024,0.9362549800796813,0.9389312977099237,0.9826574659533074,75.71086210000794
lupac,Fake News Filipino 2024,3,1,3,44,2051,513,0.949317738791423,0.9493021346469622,0.9484126984126985,0.950191570881226,0.9830222519455253,75.69770109991077
lupac,Fake News Filipino 2024,4,1,4,45,2051,513,0.935672514619883,0.9356568670302732,0.9346534653465347,0.9366602687140115,0.9873844844357976,75.84020519990008
lupac,Fake News Filipino 2024,5,1,5,46,2052,512,0.935546875,0.9355269534424928,0.9343936381709741,0.9366602687140115,0.9824905395507812,76.05840159999207
lupac,Fake News Filipino 2024,6,2,1,47,2051,513,0.9532163742690059,0.9532161964980546,0.953307392996109,0.953125,0.9846409897859922,75.74392189993523
lupac,Fake News Filipino 2024,7,2,2,48,2051,513,0.9395711500974658,0.9395481793749929,0.9383697813121272,0.9407265774378585,0.9830982490272373,75.84160739998333
