accuracy,features,classifier,dataset
0.923976608,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.93957115,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.923976608,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.919921875,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.918128655,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.923976608,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.935672515,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.906432749,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.8984375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.947368421,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.908382066,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.892787524,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.920077973,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.935546875,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Cruz
0.968810916,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.937621832,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.941520468,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.941520468,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.958984375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.941520468,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.961013645,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.949317739,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.95703125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.933723197,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.968810916,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.959064327,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.935546875,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.961013645,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.947368421,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.951267057,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.94921875,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.955165692,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.943469786,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.9609375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.947368421,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.937621832,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.949317739,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.947265625,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",SVC,Cruz
0.871345029,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.892787524,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.884990253,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.900584795,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.869140625,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
