dataset_key,dataset,fold_number,repeat_number,split_number,seed,train_size,validation_size,accuracy,f1_macro,f1_fake,f1_real,roc_auc,elapsed_seconds
cruz,Fake News Filipino 2020,14,3,4,55,2051,513,0.9727095516569201,0.9727094479571985,0.97265625,0.9727626459143969,0.9937454401750972,161.73422859993298
cruz,Fake News Filipino 2020,15,3,5,56,2052,512,0.951171875,0.951149326585834,0.9521988527724665,0.9500998003992015,0.9930038452148438,161.5316284999717
cruz,Fake News Filipino 2020,16,4,1,57,2051,513,0.9688109161793372,0.9688107976653697,0.96875,0.9688715953307393,0.9929702699416342,145.84899239998776
cruz,Fake News Filipino 2020,17,4,2,58,2051,513,0.9629629629629629,0.9629539537447027,0.963531669865643,0.9623762376237625,0.9953109800583657,161.6343897000188
cruz,Fake News Filipino 2020,18,4,3,59,2051,513,0.9629629629629629,0.9629268997729288,0.9640831758034026,0.9617706237424548,0.9968233219844359,148.05148200003896
cruz,Fake News Filipino 2020,19,4,4,60,2051,513,0.9649122807017544,0.9648897338403042,0.9657794676806083,0.964,0.9909563472762647,145.81633669999428
cruz,Fake News Filipino 2020,20,4,5,61,2052,512,0.966796875,0.9667967483396467,0.9668615984405458,0.9667318982387475,0.9908523559570312,162.4599813000532
cruz,Fake News Filipino 2020,21,5,1,62,2051,513,0.9512670565302144,0.9512196049643799,0.952741020793951,0.9496981891348087,0.9927498784046693,148.6165487000253
cruz,Fake News Filipino 2020,22,5,2,63,2051,513,0.9688109161793372,0.9688107976653697,0.96875,0.9688715953307393,0.9905535627431906,145.8758339000633
cruz,Fake News Filipino 2020,23,5,3,64,2051,513,0.9766081871345029,0.9766059647949411,0.9768339768339768,0.9763779527559054,0.9952577821011673,146.0976053000195
cruz,Fake News Filipino 2020,24,5,4,65,2051,513,0.9707602339181286,0.9707584561072836,0.9709864603481625,0.9705304518664047,0.9952425826848249,161.68372329999693
cruz,Fake News Filipino 2020,25,5,5,66,2052,512,0.978515625,0.9785135758949179,0.9787234042553192,0.9783037475345168,0.9954071044921875,146.14654300000984
cruz,Fake News Filipino 2020,26,6,1,67,2051,513,0.9805068226120858,0.9805049706624509,0.9806949806949806,0.9803149606299212,0.9955237718871596,161.6606790999649
cruz,Fake News Filipino 2020,27,6,2,68,2051,513,0.9649122807017544,0.9649110807113543,0.9651162790697675,0.9647058823529413,0.9967777237354086,145.76328159996774
cruz,Fake News Filipino 2020,28,6,3,69,2051,513,0.9571150097465887,0.9571070234113712,0.9576923076923077,0.9565217391304348,0.9889652237354085,145.89679779997095
cruz,Fake News Filipino 2020,29,6,4,70,2051,513,0.9707602339181286,0.9707531213773968,0.9712092130518234,0.9702970297029703,0.9936542436770428,145.64595049992204
cruz,Fake News Filipino 2020,30,6,5,71,2052,512,0.96875,0.9687423687423687,0.9692307692307692,0.9682539682539683,0.9935226440429688,161.09350590000395
lupac,Fake News Filipino 2024,1,1,1,42,2051,513,0.9649122807017544,0.9649121473735409,0.9649805447470817,0.96484375,0.996352140077821,145.64444149995688
lupac,Fake News Filipino 2024,2,1,2,43,2051,513,0.9512670565302144,0.9512640935121394,0.9508840864440079,0.9516441005802708,0.994695403696498,145.87972169998102
lupac,Fake News Filipino 2024,3,1,3,44,2051,513,0.9707602339181286,0.9707562335396929,0.9704142011834319,0.9710982658959537,0.9975528939688717,147.08617240004241
lupac,Fake News Filipino 2024,4,1,4,45,2051,513,0.9707602339181286,0.9707584561072835,0.9705304518664047,0.9709864603481624,0.9968157222762646,145.48236790008377
lupac,Fake News Filipino 2024,5,1,5,46,2052,512,0.958984375,0.9589767069192467,0.9584158415841584,0.9595375722543352,0.996337890625,145.5513514999766
lupac,Fake News Filipino 2024,6,2,1,47,2051,513,0.9707602339181286,0.9707531213773968,0.9702970297029703,0.9712092130518234,0.9974312986381323,146.4928337999154
lupac,Fake News Filipino 2024,7,2,2,48,2051,513,0.9610136452241715,0.9610134970817121,0.9609375,0.9610894941634242,0.9959113570038911,145.5175930999685
lupac,Fake News Filipino 2024,8,2,3,49,2051,513,0.9668615984405458,0.9668535375610497,0.9663366336633663,0.9673704414587332,0.9976592898832686,145.5286097000353
lupac,Fake News Filipino 2024,9,2,4,50,2051,513,0.9551656920077972,0.9551629660311682,0.9548133595284872,0.9555125725338491,0.9939962305447471,145.42829149996396
lupac,Fake News Filipino 2024,10,2,5,51,2052,512,0.96875,0.9687480925349448,0.968503937007874,0.9689922480620154,0.996429443359375,145.42265640001278
lupac,Fake News Filipino 2024,11,3,1,52,2051,513,0.949317738791423,0.9493021346469622,0.9484126984126984,0.9501915708812261,0.9947866001945525,145.48550750000868
lupac,Fake News Filipino 2024,12,3,2,53,2051,513,0.9551656920077972,0.9551486492137043,0.9542743538767395,0.9560229445506692,0.9943914153696498,145.33794669993222
lupac,Fake News Filipino 2024,13,3,3,54,2051,513,0.9727095516569201,0.9727094479571985,0.97265625,0.9727626459143969,0.9970361138132295,145.38807350001298
lupac,Fake News Filipino 2024,14,3,4,55,2051,513,0.9805068226120858,0.9805049706624509,0.9803149606299212,0.9806949806949806,0.9981000729571985,146.03546549996827
lupac,Fake News Filipino 2024,15,3,5,56,2052,512,0.94921875,0.9492063492063492,0.9484126984126984,0.9500000000000001,0.9935455322265625,145.37673929997254
lupac,Fake News Filipino 2024,16,4,1,57,2051,513,0.9649122807017544,0.9649089471924117,0.9645669291338581,0.9652509652509652,0.9965345330739299,145.75489290000405
lupac,Fake News Filipino 2024,17,4,2,58,2051,513,0.9668615984405458,0.9668570646783186,0.9672447013487475,0.9664694280078895,0.9978568822957199,145.76513830001932
lupac,Fake News Filipino 2024,18,4,3,59,2051,513,0.9707602339181286,0.9707491190524158,0.9701789264413518,0.9713193116634798,0.9975528939688716,145.33815199998207
lupac,Fake News Filipino 2024,19,4,4,60,2051,513,0.9668615984405458,0.9668610947504417,0.9667318982387475,0.9669902912621358,0.9944826118677043,145.2500036000274
lupac,Fake News Filipino 2024,20,4,5,61,2052,512,0.97265625,0.97265625,0.97265625,0.97265625,0.996490478515625,145.59571060002781
lupac,Fake News Filipino 2024,21,5,1,62,2051,513,0.9766081871345029,0.9766080982490273,0.9765625,0.9766536964980544,0.9977200875486382,145.26640419999603
lupac,Fake News Filipino 2024,22,5,2,63,2051,513,0.9707602339181286,0.9707562335396929,0.9704142011834319,0.9710982658959537,0.9967321254863812,145.32752639998216
lupac,Fake News Filipino 2024,23,5,3,64,2051,513,0.9766081871345029,0.9766059647949412,0.9763779527559056,0.9768339768339769,0.9975376945525292,145.64390240004286
lupac,Fake News Filipino 2024,24,5,4,65,2051,513,0.9532163742690059,0.9532147742818058,0.9529411764705883,0.9534883720930233,0.9955237718871595,145.38598739996087
lupac,Fake News Filipino 2024,25,5,5,66,2052,512,0.966796875,0.9667957350220305,0.9669902912621358,0.9666011787819253,0.9950408935546875,145.37642939994112
lupac,Fake News Filipino 2024,26,6,1,67,2051,513,0.9649122807017544,0.9649110807113543,0.9647058823529412,0.9651162790697674,0.995759362840467,145.39456519996747
lupac,Fake News Filipino 2024,27,6,2,68,2051,513,0.9688109161793372,0.9688079530599215,0.968503937007874,0.9691119691119691,0.9973705009727627,145.76701569999568
lupac,Fake News Filipino 2024,28,6,3,69,2051,513,0.9727095516569201,0.9727094479571985,0.97265625,0.9727626459143969,0.9962457441634242,145.4486897001043
lupac,Fake News Filipino 2024,29,6,4,70,2051,513,0.9512670565302144,0.9512196049643799,0.9496981891348087,0.952741020793951,0.99458140807393,145.36280579993036
lupac,Fake News Filipino 2024,30,6,5,71,2052,512,0.96875,0.9687423687423687,0.9682539682539683,0.9692307692307692,0.997344970703125,145.33164459990803
combined,Combined,1,1,1,42,4103,1026,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9934927746049116,291.35199370002374
combined,Combined,2,1,2,43,4103,1026,0.949317738791423,0.9493160054719563,0.9496124031007752,0.9490196078431372,0.990154615475227,291.3757726000622
combined,Combined,3,1,3,44,4103,1026,0.9483430799220273,0.9483430308499774,0.9483933787731256,0.9482926829268292,0.9879564082395722,291.5016230000183
combined,Combined,4,1,4,45,4103,1026,0.9532163742690059,0.9532019704433496,0.9540229885057471,0.9523809523809523,0.9889804650243759,324.6070044999942
combined,Combined,5,1,5,46,4104,1025,0.9590243902439024,0.95902435124269,0.958984375,0.9590643274853801,0.9936190302144249,291.2887516999617
combined,Combined,6,2,1,47,4103,1026,0.9541910331384016,0.9541875080159036,0.9545893719806763,0.9537856440511309,0.9887752736834505,291.0921988999471
combined,Combined,7,2,2,48,4103,1026,0.9434697855750487,0.9434523809523809,0.9444444444444445,0.9424603174603174,0.9831078128502977,291.4152798000723
combined,Combined,8,2,3,49,4103,1026,0.9522417153996101,0.9522380402718995,0.9526570048309179,0.9518190757128812,0.9901888140320478,323.58265260001644
combined,Combined,9,2,4,50,4103,1026,0.9541910331384016,0.954178453363639,0.9549376797698944,0.9534192269573836,0.9905061006425527,291.47209929989185
