dataset_key,dataset,feature_set,features,classifier,repeat,fold,accuracy
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,5,5,0.9609375
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,6,1,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,6,2,0.9454191033138402
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,6,3,0.949317738791423
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,6,4,0.949317738791423
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",SVC,6,5,0.94921875
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,1,1,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,1,2,0.9122807017543859
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,1,3,0.9317738791423001
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,1,4,0.9103313840155945
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,1,5,0.92578125
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,2,1,0.9278752436647173
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,2,2,0.9064327485380117
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,2,3,0.9200779727095516
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,2,4,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,2,5,0.93359375
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,3,1,0.9083820662768031
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,3,2,0.9376218323586745
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,3,3,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,3,4,0.9161793372319688
